seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
db46ca7bce82b11f7e247539271fc390,RJ,16,1082.45,4.56,0.0,-13.4,70.1,Good,133,1
41ab63a91b8b264e8c8780368bf1dd5b,MG,11,2452.95,4.55,0.0,-23.3,70.1,Good,133,1
acce39e832338debb07b02385cde5967,MG,43,4618.2,4.53,0.0,-10.0,70.1,Good,133,1
d1c7fa84e48cfa21a0e595167c1c500e,RS,11,1121.18,4.55,0.0,-18.8,70.0,Good,140,1
817f85dbb65aa3e70831d90fe75cdf89,SP,11,1552.27,4.55,0.0,-25.5,70.0,Good,140,1
d66c11a9572221d92fbb8c4897db5f9b,RJ,16,776.56,4.56,0.0,-11.2,70.0,Good,140,1
b372ee768ed69e46ca8cdbd267aa7a38,SP,63,12630.0,4.44,0.0,-19.2,70.0,Good,140,1
d9bd94811c3338dceb4181f3dbc0c73e,SP,54,6911.02,4.8,5.6,-7.9,70.0,Good,140,1
516e7738bd8f735ac19a010ee5450d8d,RJ,73,6501.19,4.64,2.7,-19.0,69.9,Good,145,1
fe2032dab1a61af8794248c8196565c9,SP,292,66112.51,4.4,8.9,-10.9,69.9,Good,145,1
d06d019f72a04e5497a0b64190af170c,SP,17,2415.93,4.53,0.0,-12.5,69.9,Good,145,1
b1ac6ea7895bc3dd6f0f6f4abbdd2821,RS,38,2962.0,4.53,0.0,-16.8,69.9,Good,145,1
ba90964cff9b9e0e6f32b23b82465f7b,SP,38,44212.5,4.42,5.3,-12.0,69.9,Good,145,1
63a79f5a7eb5cb48a7e5787b141c7993,MG,11,896.8,4.55,0.0,-14.1,69.9,Good,145,1
9de4643a8dbde634fe55621059d92273,SC,72,17640.24,4.53,2.8,-11.8,69.8,Good,151,1
d23019c84ffae2d5ef2270367b8605fc,PR,39,29335.99,4.41,2.6,-14.4,69.8,Good,151,1
cac876b37d3abcd6bd76caca30277996,PR,26,2149.87,4.52,0.0,-16.0,69.7,Good,153,1
725c32fa80c2faacc4fc88450d27314e,SP,88,7698.89,4.52,1.1,-12.4,69.7,Good,153,1
f8db351d8c4c4c22c6835c19a46f01b0,SP,651,50007.37,4.29,4.3,-11.9,69.7,Good,153,1
376a891762bbdecbc02b4b6adec3fdda,GO,57,6406.23,4.67,3.5,-15.2,69.7,Good,153,1
7299e27ed73d2ad986de7f7c77d919fa,MG,334,34372.24,4.43,4.2,-12.5,69.6,Good,157,1
5cf13accae3222c70a9cac40818ae839,MG,144,14140.55,4.51,2.1,-14.0,69.6,Good,157,1
6c7d50c24b3ccd2fd83b44d8bb34e073,SP,109,8898.48,4.53,1.8,-11.9,69.5,Good,159,1
6bbcb8924baf70b7fe2fe2097e8cd407,SC,10,2382.5,4.5,0.0,-18.1,69.5,Good,159,1
0432ead42b6c8a0bdf68154add917fdf,SP,80,7573.5,4.58,2.5,-13.2,69.5,Good,159,1
dbc22125167c298ef99da25668e1011f,MG,387,32414.76,4.35,2.6,-13.7,69.5,Good,159,1
7d13fca15225358621be4086e1eb0964,SP,555,114174.13,4.05,11.5,-10.8,69.5,Good,159,1
226b05fe067266c59c15dae208213d06,PR,10,1056.9,4.5,0.0,-13.5,69.4,Good,164,1
e48b04bf1aa1ef711caebeb7aede6180,PR,25,3187.1,4.48,0.0,-15.6,69.4,Good,164,1
431050a06a317f2b38168dec3dcd2b46,SP,10,1370.0,4.5,0.0,-14.1,69.4,Good,164,1
d1b9d4be4b6f9ebd85f8acd6745ba612,MG,10,1040.2,4.5,0.0,-17.9,69.4,Good,164,1
